timestamp,attempt,serial,user_input,correct_numbers,wrong_numbers,first_correct,last_correct,pattern_correct,correct_numbers_total,first_correct_total,last_correct_total,speed_ms
2025-10-09T20:44:38.695787,1,32 27 54 88 45 57 45 11 19 32,42 11 11 57 88 47 90   ,3,7,0,0,,3,0,0,
2025-10-09T20:45:16.253217,2,9 62 95 59 60 83 96 23 51 28,28 51 8 9 24 21 5   ,3,7,1,1,,6,1,1,
2025-10-09T20:45:46.649897,3,81 76 61 29 59 56 28 2 74 46,2 54 56 44 23 11    ,2,8,0,0,,8,1,1,
2025-10-09T20:46:21.848643,4,75 7 51 5 75 38 98 40 61 65,61 65 57 5 7 5 52   ,4,6,0,1,,12,1,2,
2025-10-09T20:46:55.199386,5,25 20 94 37 92 50 47 75 46 82,24 20 82 70 32 11 57 58 94 91,3,7,0,1,,15,1,3,
2025-10-09T20:47:51.123439,1,24 18 20 79 62 51 77 96 51 16,16 51 51 24 97     ,4,6,1,1,,4,1,1,
2025-10-09T20:48:21.636061,2,24 60 13 68 82 22 74 64 91 80,24 64 64 80 80 61    ,3,7,1,1,,7,2,2,
2025-10-09T20:48:45.164944,3,39 18 27 89 97 90 79 91 48 36,91 38 34 64 44     ,1,9,0,0,,8,2,2,
2025-10-09T20:49:11.218148,4,32 1 39 26 43 55 5 35 87 71,5 35 55 21 81 46    ,3,7,0,0,,11,2,2,
2025-10-09T20:49:37.432659,5,52 81 6 26 61 9 24 71 76 3,76 3 68       ,2,8,0,1,,13,2,3,
2025-10-09T20:50:13.460491,6,41 97 6 60 57 71 21 58 78 14,71 71 18 14 61     ,2,8,0,1,,15,2,4,
2025-10-09T20:50:40.694870,7,90 90 11 39 27 67 49 43 84 97,97 97 38 48      ,1,9,0,1,,16,2,5,
2025-10-09T20:51:09.063930,8,57 57 94 90 36 48 38 49 48 3,48 38 49 3 48     ,5,5,0,1,,21,2,6,
2025-10-09T20:51:33.253124,9,82 87 95 59 22 64 73 94 69 88,69 88        ,2,8,0,1,,23,2,7,
2025-10-09T20:52:00.965773,10,54 49 8 51 50 91 47 30 16 91,47 30 91 90 7     ,3,7,0,1,,26,2,8,
2025-10-07T07:30:29.414707,1,12 61 39 2 41 86 72 35 33 45,12 61 39 2 43 45 75   ,5,5,1,1,,5,1,1,
2025-10-07T07:30:56.408864,2,85 99 56 71 12 93 44 5 74 62,62 73 71 12 93 47    ,4,6,0,1,,9,1,2,
2025-10-07T07:31:21.204653,3,96 53 8 23 92 63 41 24 58 6,53 8 23 6 58     ,5,5,0,1,,14,1,3,
2025-10-07T07:31:45.883723,4,61 72 35 43 71 37 33 54 41 23,63 61 72 73 35     ,3,7,1,0,,17,2,3,
2025-10-07T07:32:11.068613,5,12 79 41 13 24 65 59 99 29 40,40 12 79 41 13     ,5,5,1,1,,22,3,4,
2025-10-07T07:34:07.298147,1,65 85 30 55 17 76 90 24 79 83,35 65 85 30 73     ,3,7,1,0,,3,1,0,
2025-10-07T07:34:31.131874,2,95 83 4 81 51 44 53 75 78 21,95 83 4 91      ,3,7,1,0,,6,2,0,
2025-10-07T07:34:55.729369,3,86 69 31 31 57 18 78 94 41 3,3 31 31 86 83     ,4,6,1,1,,10,3,1,
2025-10-07T07:35:22.687286,4,77 72 37 95 47 10 54 58 60 20,20 10 77 72 37     ,5,5,1,1,,15,4,2,
2025-10-07T07:36:01.896727,5,92 42 2 53 53 70 9 32 46 32,32 32 92 33 42 42 2   ,5,5,1,1,,20,5,3,
2025-10-07T07:37:18.501948,1,6 80 54 90 94 33 27 63 45 44,45 44 6 80 54 90    ,6,4,1,1,,6,1,1,
2025-10-07T07:37:52.392373,2,35 5 50 52 80 82 60 81 49 78,78 80 82 35 5 70 72 90 92 ,5,5,1,1,,11,2,2,
2025-10-07T07:38:22.377671,3,76 93 57 74 83 43 91 72 10 17,43 91 72       ,3,7,0,0,,14,2,2,
2025-10-07T07:38:47.959327,4,60 75 99 92 67 7 20 13 17 56,56 60 75 99      ,4,6,1,1,,18,3,3,
2025-10-07T07:39:11.624218,5,84 64 8 25 58 31 5 83 63 70,70 83 84 54 8     ,4,6,1,1,,22,4,4,
