timestamp,attempt,serial,user_input,first_correct,last_correct,correct_numbers,first_wrong_total,last_wrong_total,speed_ms,source_file
2025-09-23T05:45:55.485031,1.0,11 83 58 18 45 11 68 19 95 91,11 83 58 18 45,1.0,0.0,5.0,1.0,1.0,1500.0,game_log_speedAS.csv
2025-09-23T05:46:21.062836,2.0,75 4 50 20 7 32 56 54 39 17,75 4 50 20 7,1.0,0.0,3.0,2.0,2.0,1500.0,game_log_speedAS.csv
2025-09-23T05:46:48.120587,3.0,57 8 43 20 77 83 24 88 61 64,57 8 43 20 77,1.0,0.0,5.0,3.0,3.0,1500.0,game_log_speedAS.csv
2025-09-23T05:47:14.687703,4.0,62 51 95 66 17 25 81 48 25 58,62 51 95 66 17,1.0,0.0,5.0,4.0,4.0,1500.0,game_log_speedAS.csv
2025-09-23T05:47:42.112153,5.0,95 54 25 42 1 21 94 13 38 88,95 54 25 42 1,1.0,0.0,4.0,5.0,5.0,1500.0,game_log_speedAS.csv
2025-09-23T05:48:01.591109,6.0,58 50 39 44 24 7 88 32 56 92,58 50 39 44 24,1.0,0.0,6.0,6.0,6.0,1000.0,game_log_speedAS.csv
2025-09-23T05:48:21.813248,7.0,55 54 58 70 47 25 64 62 37 50,55 54 58 70 47,1.0,0.0,5.0,7.0,7.0,1000.0,game_log_speedAS.csv
2025-09-23T05:48:44.725233,8.0,52 22 21 48 33 99 63 40 5 60,52 22 21 48 33,1.0,0.0,4.0,8.0,8.0,1000.0,game_log_speedAS.csv
2025-09-23T05:49:06.037416,9.0,90 86 16 89 81 20 3 88 84 10,90 86 16 89 81,1.0,0.0,4.0,9.0,9.0,1000.0,game_log_speedAS.csv
2025-09-23T05:49:27.316136,10.0,21 91 77 57 86 37 18 31 70 26,21 91 77 57 86,1.0,0.0,5.0,10.0,10.0,1000.0,game_log_speedAS.csv
2025-09-23T05:49:42.328551,11.0,97 39 76 6 71 47 93 29 22 95,97 39 76 6 71,1.0,0.0,6.0,11.0,11.0,500.0,game_log_speedAS.csv
2025-09-23T05:49:59.251128,12.0,19 81 98 12 46 53 67 54 63 66,19 81 98 12 46,1.0,0.0,7.0,12.0,12.0,500.0,game_log_speedAS.csv
2025-09-23T05:50:17.451848,13.0,20 3 69 52 65 69 55 52 3 7,20 3 69 52 65,1.0,0.0,6.0,13.0,13.0,500.0,game_log_speedAS.csv
2025-09-23T05:50:35.397205,14.0,45 16 32 16 93 49 69 79 82 24,45 16 32 16 93,1.0,0.0,6.0,14.0,14.0,500.0,game_log_speedAS.csv
2025-09-23T05:50:49.742480,15.0,47 16 97 86 67 97 35 87 60 69,47 16 97 86 67,1.0,0.0,6.0,15.0,15.0,500.0,game_log_speedAS.csv
2025-09-24T21:12:25.122778,1.0,31 92 11 57 42 86 98 18 20 14,31 92 11 57 42,1.0,0.0,7.0,1.0,1.0,1500.0,game_log_speedRA.csv
2025-09-24T21:13:08.710338,2.0,99 3 3 61 70 56 31 79 6 76,99 3 61 70 56,1.0,0.0,4.0,1.0,2.0,1500.0,game_log_speedRA.csv
2025-09-24T21:13:56.567463,3.0,88 44 29 35 47 1 60 18 63 62,88 44 29 35 47,1.0,0.0,7.0,2.0,3.0,1500.0,game_log_speedRA.csv
2025-09-24T21:14:43.734848,4.0,10 8 22 92 91 38 86 35 43 61,10 8 22 92 91,1.0,0.0,5.0,3.0,4.0,1500.0,game_log_speedRA.csv
