timestamp,attempt,serial,user_input,pattern_correct,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms,source_file
2025-09-24T21:22:17.825108,1,56 13 67 64 40 45 21 8 68 76,40 36 26 27 28 29 30 31 32 33,1,1,1,9,1,1,9,,game_log_memorypatternRA.csv
2025-09-24T21:23:13.972332,2,32 9 56 51 21 69 95 18 45 32,69 95 18 71 72 73 74 75 76 78,1,1,1,7,2,2,16,,game_log_memorypatternRA.csv
2025-09-24T21:24:10.640546,3,76 15 32 9 3 97 36 63 32 53,9 15 97 3 41 42 43 45 56 47,1,1,1,6,3,3,22,,game_log_memorypatternRA.csv
2025-09-24T21:25:06.172761,4,46 99 2 67 6 36 94 89 71 10,2 6 95 94 10 41 42 43 45 46,0,1,1,5,4,4,27,,game_log_memorypatternRA.csv
2025-09-24T21:25:53.351601,5,21 5 49 20 8 23 64 72 78 11,5 8 20 21 22 23 36 37 38 39,1,1,1,5,5,5,32,,game_log_memorypatternRA.csv
2025-09-24T20:45:57.966983,1,38 72 88 63 36 60 6 25 40 35,38 32 6 7 72 69 23 78 38 56,1,0,1,6,1,1,6,,game_log_memorypatternSA.csv
2025-09-24T20:47:23.099043,2,93 55 69 25 73 28 8 94 94 37,55 25 8 60 84 16 5 47 23 69,0,1,1,6,2,2,12,,game_log_memorypatternSA.csv
2025-09-24T20:48:53.611456,3,46 73 25 67 9 75 66 8 30 53,69 8 7 25 37 67 98 23 54 83,1,1,1,7,3,3,19,,game_log_memorypatternSA.csv
2025-09-24T20:49:55.553531,4,8 54 16 65 57 44 74 71 65 97,8 54 74 44 71 16 67 57 64 93,1,0,1,3,4,4,22,,game_log_memorypatternSA.csv
2025-09-24T20:50:54.845851,5,32 33 43 85 35 13 81 43 77 8,8 77 31 32 33 76 12 35 75 81,1,1,1,4,5,5,26,,game_log_memorypatternSA.csv
2025-09-24T20:52:21.417921,6,99 4 92 89 70 37 87 6 41 28,4 47 35 85 42 75 54 78 97 43,1,1,1,7,6,6,33,,game_log_memorypatternSA.csv
2025-09-24T20:53:43.951604,7,70 93 60 12 4 2 58 10 44 38,4 12 54 44 71 35 64 83 34 67,1,1,1,7,7,7,40,,game_log_memorypatternSA.csv
2025-09-24T20:55:12.371855,8,70 40 75 68 53 23 99 52 83 6,6 53 58 29 85 23 68 94 64 59,1,1,1,6,8,8,46,,game_log_memorypatternSA.csv
2025-09-24T20:56:10.744449,9,15 17 42 36 33 81 65 71 79 65,15 17 44 54 73 86 33 95 99 34,1,0,1,7,9,9,53,,game_log_memorypatternSA.csv
2025-09-24T20:57:17.897208,10,72 68 91 18 1 69 14 40 85 2,44 91 4 14 71 14 17 32 85 53,1,1,1,5,10,10,58,,game_log_memorypatternSA.csv
2025-09-23T10:15:27.951335,1,69 85 27 87 88 83 68 10 37 85,88 83 89 68 80,1,1,1,5,1,1,5,,game_log_memorypatternSO.csv
2025-09-23T10:16:14.401707,2,4 61 26 57 22 10 28 97 83 76,83 28 27 97 5 76 22 14,1,1,1,8,2,2,13,,game_log_memorypatternSO.csv
2025-09-23T10:16:58.512902,3,3 23 98 18 55 86 75 37 17 12,27 17 12 77 75 55 35 3 86 95,1,1,1,10,3,3,23,,game_log_memorypatternSO.csv
2025-09-23T10:17:50.203778,4,76 37 90 89 70 83 4 50 29 54,8 42 48 90 56 14,0,1,1,6,4,4,29,,game_log_memorypatternSO.csv
2025-09-23T10:19:07.082580,5,32 59 93 72 85 39 47 62 91 72,92 37 73 93,1,1,1,4,5,5,33,,game_log_memorypatternSO.csv
2025-09-23T10:19:56.316456,6,89 34 24 23 60 60 18 69 52 11,69 60 23 22 20 93 98,1,1,1,7,6,6,40,,game_log_memorypatternSO.csv
2025-09-23T10:20:43.170913,7,61 33 26 67 46 62 85 87 65 83,67 85 83 85 23 65 63,1,1,1,7,7,7,47,,game_log_memorypatternSO.csv
2025-09-23T10:21:25.150426,8,41 52 7 75 83 55 44 19 2 84,44 55 55 7 53 98 9 46 33 22,1,1,1,10,8,8,57,,game_log_memorypatternSO.csv
2025-09-23T10:22:08.125537,9,3 5 4 50 55 74 38 59 95 57,3 4 5 55 57 95 38 73 33 34,1,0,1,8,8,9,65,,game_log_memorypatternSO.csv
2025-09-23T10:23:17.125877,10,4 83 25 66 77 3 36 98 74 18,18 87 93 14 34 57 12 6 55 34,0,1,1,10,9,10,75,,game_log_memorypatternSO.csv
