timestamp,attempt,serial,user_input,pattern_correct,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-24T20:07:40.318933,1,98 81 10 9 39 53 41 40 23 1,98 1 10 23 89 3 43 41 9 32,,0,1,4,1,1,4,
2025-09-24T20:10:03.182913,2,78 94 10 56 43 9 88 10 40 51,51 10 40 53 43 78 88 54 67 17,,1,1,4,2,2,8,
2025-09-24T20:11:21.676878,3,89 44 37 18 43 8 60 67 10 10,8 60 67 10 47 76 78 58 89 26,,1,1,5,3,3,13,
2025-09-24T20:12:28.821684,4,18 80 79 77 93 18 70 33 43 37,18 18 93 90 87 77 79 37 80 83,,0,1,3,4,4,16,
2025-09-24T20:14:08.104065,5,22 26 94 21 98 92 60 56 48 39,39 46 21 22 26 53 97 18 67 63,,1,1,6,5,5,22,
2025-09-24T20:15:15.917607,6,84 78 95 61 75 83 11 14 55 65,55 65 75 11 78 84 46 78 75 71,,1,1,2,6,6,24,
2025-09-24T20:16:07.932442,7,8 75 72 45 68 32 80 34 20 44,44 20 8 65 32 78 83 46 18 75,,1,1,5,7,7,29,
2025-09-24T20:17:25.899314,8,65 79 20 75 67 46 3 90 29 80,80 90 23 3 67 69 37 34 75 17,,1,1,5,8,8,34,
2025-09-24T20:19:03.548949,9,19 39 20 69 32 91 81 62 33 53,53 33 69 21 31 81 91 32 67 75,,1,1,3,9,9,37,
2025-09-24T20:20:37.238852,10,99 44 95 56 41 5 78 92 62 72,62 72 92 99 5 34 76 61 14 84,,1,1,4,10,10,41,
