timestamp,attempt,serial,user_input,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-23T07:24:35.918436,1,59 27 14 4 89 61 54 36 40 98,22 36 3 77 82 12 34 47 46 98,1,0,9,1,0,9,
2025-09-23T07:25:19.631339,2,50 27 25 83 85 55 19 21 9 24,24 9 58 98 48 13 77 34 1 15,1,1,10,2,1,19,
2025-09-23T07:26:08.106686,3,91 53 80 42 25 68 21 42 22 92,92 22 41 53 91 43 11 80 77 57,1,1,10,3,2,29,
2025-09-23T07:27:09.849877,4,44 76 21 29 18 64 23 99 87 63,99 63 21 24 97 33 24 56 78 36,1,1,9,4,3,38,
2025-09-23T07:28:03.848079,5,53 76 20 31 73 16 88 11 50 72,88 11 72 51 20 36 63 93 83 31,1,1,10,5,4,48,
2025-09-23T07:28:46.732804,6,85 9 60 68 8 68 44 33 87 65,9 3 67 80 89 61 41 27 30 17,1,1,10,6,5,58,
2025-09-23T07:29:33.340334,7,19 50 40 7 3 14 30 28 31 56,50 40 3 61 14 7 30 8 11 42,1,1,9,7,6,67,
2025-09-23T07:30:17.294344,8,29 95 60 52 60 31 96 86 14 2,2 96 96 86 21 74 24 58 76 34,1,1,10,8,7,77,
2025-09-23T07:30:53.554699,9,49 79 58 27 34 5 80 71 57 55,5 55 57 80 28 14 65 21 42 52,1,1,10,9,8,87,
2025-09-23T07:32:21.543527,10,38 90 76 58 13 76 73 13 20 9,9 22 73 73 3 78 21 27 20 98,1,1,9,10,9,96,
