timestamp,attempt,serial,user_input,correct_numbers,wrong_numbers,first_correct,last_correct,pattern_correct,correct_numbers_total,first_correct_total,last_correct_total,speed_ms
2025-10-07T07:30:29.414707,1,12 61 39 2 41 86 72 35 33 45,12 61 39 2 43 45 75   ,5,5,1,1,,5,1,1,
2025-10-07T07:30:56.408864,2,85 99 56 71 12 93 44 5 74 62,62 73 71 12 93 47    ,4,6,0,1,,9,1,2,
2025-10-07T07:31:21.204653,3,96 53 8 23 92 63 41 24 58 6,53 8 23 6 58     ,5,5,0,1,,14,1,3,
2025-10-07T07:31:45.883723,4,61 72 35 43 71 37 33 54 41 23,63 61 72 73 35     ,3,7,1,0,,17,2,3,
2025-10-07T07:32:11.068613,5,12 79 41 13 24 65 59 99 29 40,40 12 79 41 13     ,5,5,1,1,,22,3,4,
2025-10-07T07:34:07.298147,1,65 85 30 55 17 76 90 24 79 83,35 65 85 30 73     ,3,7,1,0,,3,1,0,
2025-10-07T07:34:31.131874,2,95 83 4 81 51 44 53 75 78 21,95 83 4 91      ,3,7,1,0,,6,2,0,
2025-10-07T07:34:55.729369,3,86 69 31 31 57 18 78 94 41 3,3 31 31 86 83     ,4,6,1,1,,10,3,1,
2025-10-07T07:35:22.687286,4,77 72 37 95 47 10 54 58 60 20,20 10 77 72 37     ,5,5,1,1,,15,4,2,
2025-10-07T07:36:01.896727,5,92 42 2 53 53 70 9 32 46 32,32 32 92 33 42 42 2   ,5,5,1,1,,20,5,3,
2025-10-07T07:37:18.501948,1,6 80 54 90 94 33 27 63 45 44,45 44 6 80 54 90    ,6,4,1,1,,6,1,1,
2025-10-07T07:37:52.392373,2,35 5 50 52 80 82 60 81 49 78,78 80 82 35 5 70 72 90 92 ,5,5,1,1,,11,2,2,
2025-10-07T07:38:22.377671,3,76 93 57 74 83 43 91 72 10 17,43 91 72       ,3,7,0,0,,14,2,2,
2025-10-07T07:38:47.959327,4,60 75 99 92 67 7 20 13 17 56,56 60 75 99      ,4,6,1,1,,18,3,3,
2025-10-07T07:39:11.624218,5,84 64 8 25 58 31 5 83 63 70,70 83 84 54 8     ,4,6,1,1,,22,4,4,
