timestamp,attempt,serial,user_input,pattern_correct,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-24T21:12:25.122778,1,31 92 11 57 42 86 98 18 20 14,98 18 20 14 56 11 31 42 43 44,,1,1,3,1,1,3,1500
2025-09-24T21:13:08.710338,2,99 3 3 61 70 56 31 79 6 76,99 79 77 6 31 19 11 71 42 43,,0,1,6,1,2,9,1500
2025-09-24T21:13:56.567463,3,88 44 29 35 47 1 60 18 63 62,1 60 62 62 44 88 32 18 71 72,,1,1,3,2,3,12,1500
2025-09-24T21:14:43.734848,4,10 8 22 92 91 38 86 35 43 61,43 91 92 61 18 19 20 21 22 23,,1,1,5,3,4,17,1500
2025-09-24T21:15:35.714903,5,79 15 92 20 46 48 36 3 81 79,3 82 20 76 42 43 44 45 46 47,,1,1,7,4,5,24,1500
2025-09-24T21:16:13.898442,6,98 22 87 98 43 73 46 35 44 84,98 44 43 36 32 97 48 53 54 55,,0,1,7,4,6,31,1000
2025-09-24T21:16:48.872421,7,76 98 23 18 2 43 42 95 62 74,2 18 23 32 42 43 74 75 76 77,,1,1,3,5,7,34,1000
2025-09-24T21:17:28.510662,8,89 6 10 90 17 81 99 59 17 4,17 10 17 99 90 30 42 43 44 45,,1,1,5,6,8,39,1000
2025-09-24T21:17:58.487900,9,32 89 35 93 40 65 87 66 59 5,5 32 35 40 69 17 18 19 20 21,,1,1,6,7,9,45,1000
2025-09-24T21:18:35.501717,10,10 10 57 19 43 46 39 28 99 83,83 10 19 43 99 90 34 36 32 31,,1,1,5,8,10,50,1000
2025-09-24T21:19:05.305603,11,61 76 75 11 3 41 34 12 10 32,10 12 32 34 36 37 38 39 42 48,,1,1,6,9,11,56,500
2025-09-24T21:19:39.537844,12,37 96 20 6 30 57 42 18 89 30,20 30 30 42 18 91 92 93 94 95,,1,1,5,10,12,61,500
2025-09-24T21:20:07.770895,13,36 34 84 39 30 51 48 48 21 92,92 34 36 39 31 32 40 72 77 79,,1,1,6,11,13,67,500
2025-09-24T21:20:35.693327,14,2 77 46 71 40 15 59 14 59 45,14 15 2 76 77 78 23 31 32 43,,1,1,6,12,14,73,500
2025-09-24T21:21:05.911389,15,45 61 27 14 40 55 70 48 60 37,40 60 37 18 19 21 22 23 24 25,,1,1,7,13,15,80,500
