timestamp,attempt,serial,user_input,pattern_correct,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms
2025-09-24T20:26:24.826283,1,55 90 57 41 10 8 97 49 78 62,8 10 55 41 78 97 32 64 77 79,,1,1,4,4,4,4,1500
2025-09-24T20:28:07.933343,2,82 98 23 40 93 47 96 66 8 62,92 93 96 8 72 23 32 47 57 36,,1,1,5,5,5,5,1500
2025-09-24T20:29:40.612996,3,49 57 5 8 27 37 13 29 43 29,29 29 43 56 23 61 98 73 78 46,,1,1,7,7,7,7,1500
2025-09-24T20:31:59.818439,4,60 64 11 55 71 63 36 51 43 14,14 43 61 63 64 55 77 84 26 93,,1,1,6,6,6,6,1500
2025-09-24T20:33:16.226740,5,84 2 52 10 66 61 37 88 74 58,58 61 64 2 82 47 52 77 13 37,,1,1,5,5,5,5,1500
2025-09-24T20:34:05.637961,6,54 83 67 27 47 80 41 7 84 9,7 27 47 67 9 81 23 46 94 53,,1,1,5,5,5,5,1000
2025-09-24T20:35:06.128309,7,71 26 26 83 62 5 13 16 25 83,83 83 16 13 5 62 26 25 29 52,,1,1,2,2,2,2,1000
2025-09-24T20:36:05.239520,8,52 21 41 55 34 25 58 56 22 83,25 25 22 82 82 83 27 57 86 48,,1,1,5,5,5,5,1000
2025-09-24T20:36:59.019691,9,68 90 86 77 50 43 94 14 9 80,80 9 14 90 91 68 86 48 35 56,,1,1,4,4,4,4,1000
2025-09-24T20:38:08.294643,10,7 78 28 92 65 8 77 64 61 9,7 8 9 68 61 64 77 42 92 59,,0,1,2,2,2,2,1000
2025-09-24T20:38:53.314320,11,29 50 60 5 66 24 8 43 12 7,7 8 9 50 55 25 26 27 67 34,,1,1,7,7,7,7,500
2025-09-24T20:39:47.378424,12,31 30 87 37 39 51 83 24 38 22,22 24 31 34 37 84 25 27 51 78,,1,1,5,5,5,5,500
2025-09-24T20:40:42.374432,13,50 24 7 6 57 8 61 67 47 84,61 64 67 6 8 9 11 93 23 78,,1,1,5,5,5,5,500
2025-09-24T20:41:29.252115,14,26 8 39 86 1 27 54 85 14 26,26 26 27 7 85 85 57 49 63 54,,0,1,3,3,3,3,500
2025-09-24T20:42:10.516704,15,25 82 3 50 87 51 89 1 50 78,1 3 78 87 84 58 34 19 43 73,,1,1,6,6,6,6,500
